scenario,sample_id,Doctor,Nurse,Assistant,Specialist,wmax,cost,wait,mu_cost,mu_wait,lambda,feasible,triage_violation,ga_time_s,run_dir,run_tag,fuzzy_scenario,configured_num_patients,t_max_day,n_samples_per_level,random_staff_seed,goal_wait,max_wait,goal_cost,max_cost,exp_center,pop_size,generations,mut_rate,scenario_key
expected,3,6,8,9,1,200000.0,2750.0,39192.20622859363,0.9049773755656108,0.804240028864248,0.804240028864248,False,2.952324577318791,236.2181499004364,C:\Users\LEONA\Documents\GitHub\MOFGPM\outputs\run_20260227_204835,20260227_204835,expected,36,1440.0,25,202600,50.0,200000.0,650.0,22750.0,median,200,100,0.2,FZ=expected|P=36|T=1440.0|NS=25|GW=50.0|MW=200000.0
expected,1,1,5,2,1,200000.0,1100.0,60363.86290211488,0.9796380090497736,0.6983552743080027,0.6983552743080027,False,96.1962318190586,231.6361310482025,C:\Users\LEONA\Documents\GitHub\MOFGPM\outputs\run_20260227_204835,20260227_204835,expected,36,1440.0,25,202600,50.0,200000.0,650.0,22750.0,median,200,100,0.2,FZ=expected|P=36|T=1440.0|NS=25|GW=50.0|MW=200000.0
expected,3,6,8,9,1,200000.0,2750.0,21226.839410478315,0.9049773755656108,0.8940893252789281,0.8940893252789281,True,0.0,189.78492093086243,C:\Users\LEONA\Documents\GitHub\MOFGPM\outputs\run_20260227_212051,20260227_212051,expected,36,1440.0,25,202600,50.0,200000.0,650.0,22750.0,median,200,100,0.2,FZ=expected|P=36|T=1440.0|NS=25|GW=50.0|MW=200000.0
expected,2,3,1,1,2,200000.0,1350.0,22841.19264456204,0.9683257918552036,0.8860155406623553,0.8860155406623553,True,0.0,186.43160772323608,C:\Users\LEONA\Documents\GitHub\MOFGPM\outputs\run_20260227_212051,20260227_212051,expected,36,1440.0,25,202600,50.0,200000.0,650.0,22750.0,median,200,100,0.2,FZ=expected|P=36|T=1440.0|NS=25|GW=50.0|MW=200000.0
expected,4,3,1,9,1,200000.0,1450.0,24644.1459266618,0.9638009049773756,0.8769985199966902,0.8769985199966902,True,0.0,188.5905647277832,C:\Users\LEONA\Documents\GitHub\MOFGPM\outputs\run_20260227_212051,20260227_212051,expected,36,1440.0,25,202600,50.0,200000.0,650.0,22750.0,median,200,100,0.2,FZ=expected|P=36|T=1440.0|NS=25|GW=50.0|MW=200000.0
expected,5,1,1,2,1,200000.0,700.0,40914.4398256343,0.997737556561086,0.7956267075487157,0.7956267075487157,True,0.0,182.39838337898252,C:\Users\LEONA\Documents\GitHub\MOFGPM\outputs\run_20260227_212051,20260227_212051,expected,36,1440.0,25,202600,50.0,200000.0,650.0,22750.0,median,200,100,0.2,FZ=expected|P=36|T=1440.0|NS=25|GW=50.0|MW=200000.0
expected,1,1,5,2,1,200000.0,1100.0,42728.68404226318,0.9796380090497736,0.7865532180932073,0.7865532180932073,True,0.0,186.31231427192688,C:\Users\LEONA\Documents\GitHub\MOFGPM\outputs\run_20260227_212051,20260227_212051,expected,36,1440.0,25,202600,50.0,200000.0,650.0,22750.0,median,200,100,0.2,FZ=expected|P=36|T=1440.0|NS=25|GW=50.0|MW=200000.0
expected,3,6,8,9,1,200000.0,2750.0,21226.839410478315,0.9049773755656108,0.8940893252789281,0.8940893252789281,True,0.0,210.5266044139862,C:\Users\LEONA\Documents\GitHub\MOFGPM\outputs\run_20260227_214419,20260227_214419,expected,36,1440.0,25,202600,50.0,200000.0,650.0,22750.0,median,200,100,0.2,FZ=expected|P=36|T=1440.0|NS=25|GW=50.0|MW=200000.0
expected,2,3,1,1,2,200000.0,1350.0,22841.19264456204,0.9683257918552036,0.8860155406623553,0.8860155406623553,True,0.0,207.0497913360596,C:\Users\LEONA\Documents\GitHub\MOFGPM\outputs\run_20260227_214419,20260227_214419,expected,36,1440.0,25,202600,50.0,200000.0,650.0,22750.0,median,200,100,0.2,FZ=expected|P=36|T=1440.0|NS=25|GW=50.0|MW=200000.0
expected,4,3,1,9,1,200000.0,1450.0,24644.1459266618,0.9638009049773756,0.8769985199966902,0.8769985199966902,True,0.0,221.2293393611908,C:\Users\LEONA\Documents\GitHub\MOFGPM\outputs\run_20260227_214419,20260227_214419,expected,36,1440.0,25,202600,50.0,200000.0,650.0,22750.0,median,200,100,0.2,FZ=expected|P=36|T=1440.0|NS=25|GW=50.0|MW=200000.0
expected,5,1,1,2,1,200000.0,700.0,40914.4398256343,0.997737556561086,0.7956267075487157,0.7956267075487157,True,0.0,203.9643609523773,C:\Users\LEONA\Documents\GitHub\MOFGPM\outputs\run_20260227_214419,20260227_214419,expected,36,1440.0,25,202600,50.0,200000.0,650.0,22750.0,median,200,100,0.2,FZ=expected|P=36|T=1440.0|NS=25|GW=50.0|MW=200000.0
expected,1,1,5,2,1,200000.0,1100.0,42728.68404226318,0.9796380090497736,0.7865532180932073,0.7865532180932073,True,0.0,206.6834216117859,C:\Users\LEONA\Documents\GitHub\MOFGPM\outputs\run_20260227_214419,20260227_214419,expected,36,1440.0,25,202600,50.0,200000.0,650.0,22750.0,median,200,100,0.2,FZ=expected|P=36|T=1440.0|NS=25|GW=50.0|MW=200000.0
